Food Category;Units;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;;;;;;
;g;8;22;6;8;11;6;14;13;18;11;10;20;18;7;16;15;12;15;20;;;;;;;;
;g;29;33;29;26;22;22;32;26;18;23;17;17;26;19;20;17;8;11;17;;;;;;;;
;g;4;11;7;8;10;15;4;3;11;6;8;14;10;5;12;14;4;5;4;;;;;;;;
;g;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;;;;;;;;
;ml;6;7;7;8;7;6;10;3;5;8;6;10;3;6;5;6;6;6;8;;;;;;;;
;ml;5;5;2;4;3;3;7;1;3;3;4;3;3;3;3;3;2;4;6;;;;;;;;
;ml;1;2;5;4;5;3;3;2;2;5;2;7;0;3;2;3;4;2;3;;;;;;;;
;g;20;19;17;21;19;19;23;18;18;21;31;24;22;22;20;19;14;17;20;;;;;;;;
;g;3;5;3;4;3;3;5;3;5;4;3;5;7;3;3;3;2;2;5;;;;;;;;
;g;45;44;48;43;46;38;44;48;42;45;47;40;52;45;43;42;45;41;58;;;;;;;;
;g;34;37;33;35;39;33;36;43;31;39;40;34;48;38;36;37;39;37;52;;;;;;;;
;g;10;7;15;7;7;5;8;5;12;7;7;6;4;7;7;5;6;5;6;;;;;;;;
;g;37;42;38;35;38;35;36;42;44;46;48;48;53;41;46;37;31;56;54;;;;;;;;
Fresh and processed fruit;g;805;893;789;890;948;964;895;816;807;675;756;747;873;793;908;917;851;888;854;;;;;;;;
;g;515;572;532;589;608;612;605;530;484;458;492;487;582;557;648;671;608;646;615;;;;;;;;
;g;52;46;60;59;57;52;43;36;49;32;36;45;55;36;49;49;25;51;32;;;;;;;;
;g;49;61;50;62;57;62;64;49;49;37;52;44;55;47;64;56;65;72;60;;;;;;;;
;g;125;114;118;130;126;128;121;113;94;99;89;90;104;101;102;97;127;82;87;;;;;;;;
;g;23;33;24;33;32;41;33;32;23;28;28;20;41;25;34;32;24;33;29;;;;;;;;
;g;38;46;39;45;66;44;42;29;41;33;23;36;36;48;70;85;52;60;47;;;;;;;;
;g;30;30;34;35;45;48;42;37;27;30;29;32;36;37;41;44;41;42;56;;;;;;;;
;g;16;16;17;21;19;18;23;24;22;15;20;27;23;25;44;50;31;46;43;;;;;;;;
;g;149;173;155;172;157;170;193;177;134;138;173;145;174;177;185;196;165;183;208;;;;;;;;
;g;22;39;23;20;30;21;25;17;16;21;16;27;22;28;32;36;46;38;27;;;;;;;;
;g;10;14;12;13;19;27;19;17;28;26;24;21;36;33;27;25;33;39;26;;;;;;;;
;g;289;322;258;301;340;353;290;286;323;217;265;260;290;237;261;246;243;241;239;;;;;;;;
;g;15;16;17;18;7;10;16;10;14;7;8;11;10;10;15;15;4;14;8;;;;;;;;
;g;18;21;16;18;14;18;20;17;11;13;14;11;18;9;15;18;5;15;14;;;;;;;;
;g;11;11;10;10;12;13;14;12;11;11;6;12;13;9;8;9;11;13;6;;;;;;;;
;g;0;0;0;1;0;3;1;0;1;1;0;1;1;0;2;2;4;3;9;;;;;;;;
;g;13;11;15;17;22;17;21;19;21;19;17;17;24;25;28;26;28;32;30;;;;;;;;
;g;9;9;13;14;18;14;18;16;18;16;13;14;19;20;24;21;19;29;22;;;;;;;;
;g;4;3;2;3;4;3;3;3;2;3;4;2;5;5;4;4;8;4;8;;;;;;;;
;ml;233;262;199;237;285;291;219;228;266;167;219;209;224;183;192;175;191;164;172;;;;;;;;
Bread;g;780;746;719;708;689;634;681;645;589;591;646;606;595;546;544;549;549;514;520;;;;;;;;
;g;523;493;485;436;428;376;405;375;353;347;357;339;304;277;284;283;266;256;238;;;;;;;;
;g;42;50;36;59;29;28;28;22;17;16;21;14;18;13;18;16;9;20;17;;;;;;;;
;g;449;419;441;361;394;340;374;348;334;328;334;321;283;262;263;263;254;234;216;;;;;;;;
;g;29;21;6;14;5;4;3;2;1;2;2;3;1;0;1;0;0;0;0;;;;;;;;
;g;3;2;2;2;1;4;1;3;1;0;0;1;2;2;3;3;3;1;6;;;;;;;;
;g;113;119;107;134;128;120;139;130;116;105;158;121;133;125;127;133;144;116;134;;;;;;;;
;g;39;45;49;42;32;27;32;28;21;19;40;27;24;25;33;35;25;20;22;;;;;;;;
;g;75;74;58;92;96;93;108;102;95;86;118;94;109;100;94;98;119;96;111;;;;;;;;
;g;144;135;127;138;132;138;136;140;120;140;130;145;158;143;133;133;139;143;148;;;;;;;;
;g;54;56;48;59;54;54;51;48;42;55;46;49;51;41;48;47;43;47;47;;;;;;;;
;g;7;7;4;6;3;6;8;7;6;9;4;5;5;4;4;5;10;5;6;;;;;;;;
;g;28;22;14;20;19;20;20;20;13;20;18;21;20;21;17;18;13;23;22;;;;;;;;
;g;9;12;14;13;8;10;9;11;7;7;11;7;5;7;4;3;6;7;2;;;;;;;;
;g;34;28;35;29;36;36;36;39;40;38;40;46;62;57;43;45;51;48;54;;;;;;;;
;g;7;6;5;8;8;8;7;8;8;8;9;13;10;9;14;13;12;12;14;;;;;;;;
;g;3;3;5;2;2;1;2;5;2;2;2;4;4;3;2;2;3;1;1;;;;;;;;
;g;1;1;1;1;2;2;3;2;1;1;1;1;1;1;1;2;0;0;2;;;;;;;;
Flour;g;64;43;61;62;77;85;61;49;43;76;73;115;55;56;97;88;59;45;27;;;;;;;;
Cakes, buns and pastries;g;123;128;126;130;131;115;140;119;114;115;121;115;113;118;144;135;134;139;147;;;;;;;;
;g;31;31;29;36;39;35;35;38;33;30;38;32;31;39;49;36;36;42;43;;;;;;;;
;g;92;97;97;94;93;80;105;81;81;84;82;83;82;79;96;98;98;97;105;;;;;;;;
;g;91;95;94;92;92;78;104;79;80;84;82;82;81;79;95;98;97;97;103;;;;;;;;
;g;2;2;2;1;1;1;1;2;0;0;0;1;1;0;1;0;1;0;2;;;;;;;;
Biscuits and crispbreads;g;153;156;142;167;142;143;156;157;129;137;147;134;147;155;160;167;183;175;142;;;;;;;;
;g;3;3;3;4;4;4;4;3;3;4;3;3;9;6;5;5;3;3;5;;;;;;;;
;g;90;90;87;103;86;91;105;106;87;90;96;93;98;105;102;105;122;118;94;;;;;;;;
;g;77;80;77;90;76;82;92;97;78;80;88;84;85;94;90;93;115;99;81;;;;;;;;
;g;13;10;9;13;10;9;13;9;9;9;8;9;12;11;12;12;8;19;13;;;;;;;;
;g;60;64;52;59;52;48;47;47;38;44;47;39;40;45;53;58;57;53;43;;;;;;;;
Other cereals and cereal products;g;502;474;481;470;512;504;523;525;523;459;512;491;504;553;565;597;482;501;466;;;;;;;;
;g;12;11;7;11;10;17;15;10;9;9;13;13;19;15;18;17;21;28;19;;;;;;;;
;g;127;101;99;105;106;106;98;111;97;98;97;92;110;108;98;102;92;118;80;;;;;;;;
;g;12;11;4;10;11;10;9;6;11;12;8;7;12;10;10;12;12;22;12;;;;;;;;
;g;44;33;39;38;42;40;41;44;32;34;32;29;35;36;31;32;34;40;24;;;;;;;;
